Time[s],car::STEER_SENSOR::COUNTER,car::STEER_SENSOR::CHECKSUM,car::STEER_SENSOR::STEER_RATE,car::STEER_SENSOR::STEER_DIRECTION,car::STEER_SENSOR::STEER_ANGLE[degrees],car::STEER_TORQUE::STEER_TORQUE,car::STEER_TORQUE::COUNTER,car::STEER_TORQUE::CHECKSUM
0.100252,,,,,,1,0,0
0.100506,0,0,0,3,0,,,
0.20025,,,,,,2,0,0
0.200504,0,0,0,3,0,,,
0.300248,,,,,,3,0,0
0.300502,0,0,0,3,0,,,
0.40025,,,,,,4,0,0
0.400504,0,0,0,3,0,,,
0.500248,,,,,,5,0,0
0.500502,0,0,0,3,0,,,
0.60025,,,,,,6,0,0
0.600504,0,0,0,3,0,,,
0.700248,,,,,,7,0,0
0.700502,0,0,0,3,0,,,
0.80025,,,,,,8,0,0
0.800504,0,0,0,3,0,,,
0.90025,,,,,,9,0,0
0.900504,0,0,0,3,0,,,
1.000252,,,,,,10,0,0
1.000506,0,0,0,3,0,,,
1.100248,,,,,,11,0,0
1.100502,0,0,0,3,0,,,
1.20025,,,,,,-10,0,0
1.200504,0,0,0,2,0,,,
1.300246,,,,,,-9,0,0
1.3005,0,0,0,2,0,,,
1.40025,,,,,,-8,0,0
1.400504,0,0,0,2,0,,,
1.500248,,,,,,-7,0,0
1.500502,0,0,0,2,0,,,
1.60025,,,,,,-6,0,0
1.600504,0,0,0,2,0,,,
1.700248,,,,,,-5,0,0
1.700502,0,0,0,2,0,,,
1.80025,,,,,,-4,0,0
1.800504,0,0,0,2,0,,,
1.900252,,,,,,-3,0,0
1.900506,0,0,0,2,0,,,
2.00025,,,,,,-2,0,0
2.000504,0,0,0,2,0,,,
2.100248,,,,,,-1,0,0
2.100502,0,0,0,2,0,,,
2.20025,,,,,,0,0,0
2.200504,0,0,0,2,0,,,
2.300252,,,,,,1,0,0
2.300506,0,0,0,3,0,,,
2.40025,,,,,,2,0,0
2.400504,0,0,0,3,0,,,
2.500248,,,,,,3,0,0
2.500502,0,0,0,3,0,,,
2.60025,,,,,,4,0,0
2.600504,0,0,0,3,0,,,
2.700248,,,,,,5,0,0
2.700502,0,0,0,3,0,,,
2.80025,,,,,,6,0,0
2.800504,0,0,0,3,0,,,
2.900248,,,,,,7,0,0
2.900502,0,0,0,3,0,,,
3.00025,,,,,,8,0,0
3.000504,0,0,0,3,0,,,
3.10025,,,,,,9,0,0
3.100504,0,0,0,3,0,,,
3.200252,,,,,,10,0,0
3.200506,0,0,0,3,0,,,
3.300248,,,,,,11,0,0
3.300502,0,0,0,3,0,,,
3.40025,,,,,,-10,0,0
3.400504,0,0,0,2,0,,,
3.500246,,,,,,-9,0,0
3.5005,0,0,0,2,0,,,
3.60025,,,,,,-8,0,0
3.600504,0,0,0,2,0,,,
3.700248,,,,,,-7,0,0
3.700502,0,0,0,2,0,,,
3.80025,,,,,,-6,0,0
3.800504,0,0,0,2,0,,,
3.900248,,,,,,-5,0,0
3.900502,0,0,0,2,0,,,
4.00025,,,,,,-4,0,0
4.000504,0,0,0,2,0,,,
4.100252,,,,,,-3,0,0
4.100506,0,0,0,2,0,,,
4.20025,,,,,,-2,0,0
4.200504,0,0,0,2,0,,,
4.300248,,,,,,-1,0,0
4.300502,0,0,0,2,0,,,
4.40025,,,,,,0,0,0
4.400504,0,0,0,2,0,,,
4.500252,,,,,,1,0,0
4.500506,0,0,0,3,0,,,
4.60025,,,,,,2,0,0
4.600504,0,0,0,3,0,,,
4.700248,,,,,,3,0,0
4.700502,0,0,0,3,0,,,
4.80025,,,,,,4,0,0
4.800504,0,0,0,3,0,,,
4.900248,,,,,,5,0,0
4.900502,0,0,0,3,0,,,
5.00025,,,,,,6,0,0
5.000504,0,0,0,3,0,,,
5.100248,,,,,,7,0,0
5.100502,0,0,0,3,0,,,
5.20025,,,,,,8,0,0
5.200504,0,0,0,3,0,,,
5.30025,,,,,,9,0,0
5.300504,0,0,0,3,0,,,
5.400252,,,,,,10,0,0
5.400506,0,0,0,3,0,,,
5.500248,,,,,,11,0,0
5.500502,0,0,0,3,0,,,
5.60025,,,,,,-10,0,0
5.600504,0,0,0,2,0,,,
5.700246,,,,,,-9,0,0
5.7005,0,0,0,2,0,,,
5.80025,,,,,,-8,0,0
5.800504,0,0,0,2,0,,,
5.900248,,,,,,-7,0,0
5.900502,0,0,0,2,0,,,
6.00025,,,,,,-6,0,0
6.000504,0,0,0,2,0,,,
6.100248,,,,,,-5,0,0
6.100502,0,0,0,2,0,,,
6.20025,,,,,,-4,0,0
6.200504,0,0,0,2,0,,,
6.300252,,,,,,-3,0,0
6.300506,0,0,0,2,0,,,
6.40025,,,,,,-2,0,0
6.400504,0,0,0,2,0,,,
6.500248,,,,,,-1,0,0
6.500502,0,0,0,2,0,,,
6.60025,,,,,,0,0,0
6.600504,0,0,0,2,0,,,
6.700252,,,,,,1,0,0
6.700506,0,0,0,3,0,,,
6.80025,,,,,,2,0,0
6.800504,0,0,0,3,0,,,
6.900248,,,,,,3,0,0
6.900502,0,0,0,3,0,,,
7.00025,,,,,,4,0,0
7.000504,0,0,0,3,0,,,
7.100248,,,,,,5,0,0
7.100502,0,0,0,3,0,,,
7.20025,,,,,,6,0,0
7.200504,0,0,0,3,0,,,
7.300248,,,,,,7,0,0
7.300502,0,0,0,3,0,,,
7.40025,,,,,,8,0,0
7.400504,0,0,0,3,0,,,
7.50025,,,,,,9,0,0
7.500504,0,0,0,3,0,,,
7.600252,,,,,,10,0,0
7.600506,0,0,0,3,0,,,
7.700248,,,,,,11,0,0
7.700502,0,0,0,3,0,,,
7.80025,,,,,,-10,0,0
7.800504,0,0,0,2,0,,,
7.900246,,,,,,-9,0,0
7.9005,0,0,0,2,0,,,
8.00025,,,,,,-8,0,0
8.000504,0,0,0,2,0,,,
8.100248,,,,,,-7,0,0
8.100502,0,0,0,2,0,,,
8.20025,,,,,,-6,0,0
8.200504,0,0,0,2,0,,,
8.300248,,,,,,-5,0,0
8.300502,0,0,0,2,0,,,
8.40025,,,,,,-4,0,0
8.400504,0,0,0,2,0,,,
8.500252,,,,,,-3,0,0
8.500506,0,0,0,2,0,,,
8.60025,,,,,,-2,0,0
8.600504,0,0,0,2,0,,,
8.700248,,,,,,-1,0,0
8.700502,0,0,0,2,0,,,
8.80025,,,,,,0,0,0
8.800504,0,0,0,2,0,,,
8.900252,,,,,,1,0,0
8.900506,0,0,0,3,0,,,
9.00025,,,,,,2,0,0
9.000504,0,0,0,3,0,,,
9.100248,,,,,,3,0,0
9.100502,0,0,0,3,0,,,
9.20025,,,,,,4,0,0
9.200504,0,0,0,3,0,,,
9.300248,,,,,,5,0,0
9.300502,0,0,0,3,0,,,
9.40025,,,,,,6,0,0
9.400504,0,0,0,3,0,,,
